Poste de Quartier (PDQ);Arrondissement ou ville;Address
1;Baie-D’Urfe, Beaconsfield, Kirkland, Sainte-Anne-de-Bellevue, Senneville;2883, boul. Saint-Charles
3;L’ile-Bizard, Pierrefonds-Roxboro, Sainte-Genevieve;14680, boul. de Pierrefonds
4;Dollard-Des Ormeaux;4139, boul. des Sources
5;Dorval, L’ile-Dorval, Pointe-Claire;395, boul. Saint-Jean
7;Arrondissement de Saint-Laurent;1761, rue Grenet
8;Lachine, Saint-Pierre;170, 15e Avenue
9;Cote-Saint-Luc, Hampstead, Montreal-Ouest;5757, boul. Cavendish
10;Bordeaux, Cartierville;11756, boul. O’Brien
11;Notre-Dame-de-Grâce;6255, rue Somerled
12;Ville-Marie Ouest, Westmount;21, rue Stanton
13;LaSalle;8745, boul. LaSalle
15;Saint-Paul, Petite-Bourgogne, Pointe-Saint-Charles, Saint-Henri, Ville-emard;1625, rue de l’eglise
16;Verdun (including ile-des-Soeurs);750, rue Willibrord
20;Centre-ville (Ville-Marie Ouest), parc du Mont-Royal;951, rue William
21;Centre-ville (Ville-Marie Est), ile Notre-Dame, ile Sainte-Helene, Vieux-Montreal;1180, rue Sainte-elisabeth
22;Centre-Sud;1200, av. Papineau
23;Hochelaga-Maisonneuve;4555, rue Hochelaga
24;Ville Mont-Royal, Outremont;1435, av. Van Horne
26;Cote-des-Neiges;5995, boul. Decarie
27;Ahuntsic;1805, rue Fleury Est
30;Saint-Michel;8930, boul. Pie-IX
31;Villeray;7920, boul. Saint-Laurent
33;Parc-Extension;570, avenue Beaumont
35;La Petite-Italie, La Petite-Patrie;920, rue Belanger
37;Le Plateau-Mont-Royal Nord;209, av. Laurier Est
38;Le Plateau-Mont-Royal Sud;1033, rue Rachel Est
39;Arrondissement de Montreal-Nord;6100, boul. Henri-Bourassa Est
42;Saint-Leonard;8181, boul. Lacordaire
44;Rosemont - La Petite-Patrie;4807, rue Molson
45;Riviere-des-Prairies;8200, boul. Maurice-Duplessis
46;Anjou;6850, boul. Joseph-Renaud
48;Arrondissement de Mercier—Hochelaga-Maisonneuve;6547, rue de Marseille
49;Montreal-Est, Pointe-aux-Trembles;1498, boul. Saint-Jean-Baptiste
50;Metro (Subway);Station Metro Berri-UQAM
55;Unite Aeroport (P.E.T. Dorval Airport Unit);975 boul. Romeo Vachon N.
